Site,Laboratory ID,CRA,CRAsd,pmarine ,Material ,Source
Ahu Nau Nau plaza ,AA-27343 ,371,50,1,Algal nodule ,
Ahu Nau Nau plaza ,AA-27344 ,423,60,1,Algal nodule ,
Ahu Nau Nau plaza ,AA-27346 ,430,40,1,Algal nodule ,
Ahu Nau Nau plaza ,AA-27345 ,555,45,1,Algal nodule ,
Ahu Akahanga,UCIAMS-105150,225,15,0.355,Colagen human tooth,
Ahu Akahanga,UCIAMS-105153,235,15,0.311,Colagen human tooth,
Ahu Akahanga,UCIAMS-105159,295,15,0.362,Colagen human tooth,
Ahu Kihi Kihi Rau Mea,UCIAMS-105151,175,15,0.312,Colagen human tooth,
Ahu Kihi Kihi Rau Mea,UCIAMS-105154,155,15,0.373,Colagen human tooth,
Ahu Kihi Kihi Rau Mea,UCIAMS-105149,150,15,0.375,Colagen human tooth,
Ahu Kihi Kihi Rau Mea,UCIAMS-105162,195,15,0.291,Colagen human tooth,
Ahu Mahatua,UCIAMS-105148,185,15,0.5,Colagen human tooth,
Ahu Nau Nau,UCIAMS-105152,160,25,0.309,Colagen human tooth,
Ahu Nau Nau,UCIAMS-105158,605,15,0.305,Colagen human tooth,
Ahu Nau Nau,UCIAMS-105163,400,15,0.239,Colagen human tooth,
Ahu Nau Nau,UCIAMS-105281,390,45,0.323,Colagen human tooth,
Ahu One Makihi,UCIAMS-105155,235,15,0.454,Colagen human tooth,
Ahu Tongariki,UCIAMS-105156,295,15,0.399,Colagen human tooth,
Ahu Tongariki,UCIAMS-105144,440,15,0.56,Colagen human tooth,
Ahu Tongariki,UCIAMS-105145,550,15,0.34,Colagen human tooth,
Ahu Tongariki,UCIAMS-105146,270,20,0.439,Colagen human tooth,
Ahu Tongariki,UCIAMS-105147,345,20,0.446,Colagen human tooth,
Ahu Tongariki,UCIAMS-105160,195,15,0.426,Colagen human tooth,
Ahu Tongariki,UCIAMS-105161,645,15,0.274,Colagen human tooth,
Ahu Tongariki,UCIAMS-105277,370,25,0.535,Colagen human tooth,
Ahu Tongariki,UCIAMS-105278,125,30,0.369,Colagen human tooth,
Ahu Tongariki,UCIAMS-105279,175,30,0.35,Colagen human tooth,
Ahu Tongariki,UCIAMS-105280,310,15,0.496,Colagen human tooth,
Ahu Tongariki,UCIAMS-105282,465,15,0.368,Colagen human tooth,
Ana Oroi,UCIAMS-105157,185,15,0.343,Colagen human tooth,
Ahu Ature Huki ,T-7979 ,510,80,0,Wood charcoal ,
Ahu Ature Huki ,Ua-1144 ,580,85,0,Wood charcoal ,
Ahu Heki´i ,Ua-11700 ,705,45,0,Carbonized nutshell ,
Ahu Heki´i ,Ua-11702 ,465,45,0,Carbonized nutshell ,
Ahu Heki´i ,Ua-11701 ,700,45,0,Carbonized nutshell ,
Ahu Heki´i ,Ua-11703 ,555,50,0,Carbonized nutshell ,
Ahu Ihu Arero ,Gak-4616 ,480,90,0,Wood charcoal ,
Ahu Ihu Arero ,Gak-4617 ,480,90,0,Wood charcoal ,
Ahu Motu Toremo Hiva ,KIA-29813 ,610,25,0,Wood charcoal ,
Ahu Motu Toremo Hiva ,KIA-29812 ,630,25,0,Wood charcoal ,
Ahu Motu Toremo Hiva ,KIA-26453 ,675,25,0,Wood charcoal ,
Ahu Motu Toremo Hiva ,KIA-26464 ,700,25,0,Wood charcoal ,
Ahu Motu Toremo Hiva ,KIA-26461 ,630,25,0,Wood charcoal ,
Ahu Motu Toremo Hiva ,KIA-26452 ,675,20,0,Wood charcoal ,
Ahu Motu Toremo Hiva ,KIA-26487 ,240,20,0,Wood charcoal ,
Ahu Motu Toremo Hiva ,KIA-29814 ,325,25,0,Wood charcoal ,
Ahu Motu Toremo Hiva ,KIA-26483 ,150,20,0,Wood charcoal ,
Ahu Nau Nau I ,Ua-34183 ,535,35,0,Carbonized nutshell ,
Ahu Nau Nau I ,T-7342 ,710,70,0,Wood charcoal ,
Ahu Nau Nau II ,T-7347 ,720,120,0,Wood charcoal ,
Ahu Nau Nau III ,Ua-617 ,610,85,0,Wood charcoal ,
Ahu Nau Nau IV? ,T-7348 ,200,80,0,Wood charcoal ,
Ahu No. 31-286 ,Ua-11704 ,795,50,0,Wood charcoal ,
Ahu o Rongo ,GrA-18378 ,655,30,0,Wood charcoal ,
Ahu o Rongo I ,GrA-18380 ,655,30,0,Wood charcoal ,
Ahu o Rongo I ,GrN-26318 ,715,35,0,Wood charcoal ,
Ahu o Tuki ,Beta-155733 ,595,65,0,Carbonized nutshell ,
Ahu o Tuki ,Beta-155732 ,610,60,0,Carbonized nutshell ,
