SiteName,Laboratory ID,Age,SD,Material ,CalCurve,CorrectSiteDesignation,Context,Mulrooney_Class,Notes,Reference
Ahu Nau Nau plaza ,AA-27343 ,371,50,Algal nodule ,marine20,Anakena,Ceremonial,1c,_,Mulrooney 2013
Ahu Nau Nau plaza ,AA-27344 ,423,60,Algal nodule ,marine20,Anakena,Ceremonial,1c,_,Mulrooney 2013
Ahu Nau Nau plaza ,AA-27346 ,430,40,Algal nodule ,marine20,Anakena,Ceremonial,1c,_,Mulrooney 2013
Ahu Nau Nau plaza ,AA-27345 ,555,45,Algal nodule ,marine20,Anakena,Ceremonial,1c,_,Mulrooney 2013
Ahu Akahanga,UCIAMS-105150,225,15,Colagen human tooth,Bone,Akahanga,Burial,1b,_,Commendador et al. 2014
Ahu Akahanga,UCIAMS-105153,235,15,Colagen human tooth,Bone,Akahanga,Burial,1b,_,Commendador et al. 2014
Ahu Akahanga,UCIAMS-105159,295,15,Colagen human tooth,Bone,Akahanga,Burial,1b,_,Commendador et al. 2014
Ahu Kihi Kihi Rau Mea,UCIAMS-105151,175,15,Colagen human tooth,Bone,Kihi Kihi Rau Mea,Burial,1b,_,Commendador et al. 2014
Ahu Kihi Kihi Rau Mea,UCIAMS-105154,155,15,Colagen human tooth,Bone,Kihi Kihi Rau Mea,Burial,1b,_,Commendador et al. 2014
Ahu Kihi Kihi Rau Mea,UCIAMS-105149,150,15,Colagen human tooth,Bone,Kihi Kihi Rau Mea,Burial,1b,_,Commendador et al. 2014
Ahu Kihi Kihi Rau Mea,UCIAMS-105162,195,15,Colagen human tooth,Bone,Kihi Kihi Rau Mea,Burial,1b,_,Commendador et al. 2014
Ahu Mahatua,UCIAMS-105148,185,15,Colagen human tooth,Bone,Mahatua,Burial,1b,_,Commendador et al. 2014
Ahu Nau Nau,UCIAMS-105152,160,25,Colagen human tooth,Bone,Anakena,Burial,1b,_,Commendador et al. 2014
Ahu Nau Nau,UCIAMS-105158,605,15,Colagen human tooth,Bone,Anakena,Burial,1b,_,Commendador et al. 2014
Ahu Nau Nau,UCIAMS-105163,400,15,Colagen human tooth,Bone,Anakena,Burial,1b,_,Commendador et al. 2014
Ahu Nau Nau,UCIAMS-105281,390,45,Colagen human tooth,Bone,Anakena,Burial,1b,_,Commendador et al. 2014
Ahu One Makihi,UCIAMS-105155,235,15,Colagen human tooth,Bone,One Makihi,Burial,1b,_,Commendador et al. 2014
Ahu Tongariki,UCIAMS-105156,295,15,Colagen human tooth,Bone,Tongariki,Burial,1b,_,Commendador et al. 2014
Ahu Tongariki,UCIAMS-105144,440,15,Colagen human tooth,Bone,Tongariki,Burial,1b,_,Commendador et al. 2014
Ahu Tongariki,UCIAMS-105145,550,15,Colagen human tooth,Bone,Tongariki,Burial,1b,_,Commendador et al. 2014
Ahu Tongariki,UCIAMS-105146,270,20,Colagen human tooth,Bone,Tongariki,Burial,1b,_,Commendador et al. 2014
Ahu Tongariki,UCIAMS-105147,345,20,Colagen human tooth,Bone,Tongariki,Burial,1b,_,Commendador et al. 2014
Ahu Tongariki,UCIAMS-105160,195,15,Colagen human tooth,Bone,Tongariki,Burial,1b,_,Commendador et al. 2014
Ahu Tongariki,UCIAMS-105161,645,15,Colagen human tooth,Bone,Tongariki,Burial,1b,_,Commendador et al. 2014
Ahu Tongariki,UCIAMS-105277,370,25,Colagen human tooth,Bone,Tongariki,Burial,1b,_,Commendador et al. 2014
